สรุปภาพรวมการเสนอคำขอรับการสนุบสนุนงบประมาณเงินอุดหนุนเฉพาะกิจขององค์กรปกครองส่วนท้องถิ่น (เทศบาลตำบลและองค์การบริหารส่วนตำบล),,,,,,,,,,,,,,,
ประจำปีงบประมาณ พ.ศ. 2566,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,, หน่วย : บาท
ลำดับ,จังหวัด,จังหวัด,อำเภอ,ประเภท,อปท.,คำขอ อปท. (ทต. และ อบต.) ผ่านระบบ SOLA,,,,สถ. ทำคำขอในระบบ e-Budgeting,,,,พ.ร.บ. งบประมาณรายจ่ายประจำปี 66,
,,,,,,รายการ, งบประมาณรวม, คำขอเงินอุดหนุน, เงินสมทบ,รายการ, งบประมาณรวม, คำขอเงินอุดหนุน, เงินสมทบ,รายการ, งบประมาณ
,,,,,,"5,434", แห่ง,,,"5,347", แห่ง,,,"5,640", แห่ง
73,กาญจนบุรี ทองผาภูมิ อบต.หินดาด,กาญจนบุรี,ทองผาภูมิ,อบต.,อบต.หินดาด,1,"  2,948,000 ","  2,948,000 ",  -   ,1 ,"  2,948,000 ","  2,948,000 ",  -   ,1 ,"  2,948,000 "
74,กาญจนบุรี ท่าม่วง ทต.ท่าม่วง,กาญจนบุรี,ท่าม่วง,ทต.,ทต.ท่าม่วง,2,"  22,710,000 ","  20,937,700 ","  1,772,300 ",2 ,"  4,987,000 ","  4,987,000 ",  -   ,0 ,  -   
75,กาญจนบุรี ท่าม่วง ทต.ท่าล้อ,กาญจนบุรี,ท่าม่วง,ทต.,ทต.ท่าล้อ,0,  -   ,  -   ,  -   ,0 ,  -   ,  -   ,  -   ,0 ,  -   
76,กาญจนบุรี ท่าม่วง ทต.ม่วงชุม,กาญจนบุรี,ท่าม่วง,ทต.,ทต.ม่วงชุม,1,"  5,200,000 ","  5,200,000 ",  -   ,0 ,  -   ,  -   ,  -   ,0 ,  -   
77,กาญจนบุรี ท่าม่วง ทต.วังขนาย,กาญจนบุรี,ท่าม่วง,ทต.,ทต.วังขนาย,7,"  29,976,000 ","  29,976,000 ",  -   ,6 ,"  18,870,000 ","  18,870,000 ",  -   ,1 ,"  4,724,000 "
78,กาญจนบุรี ท่าม่วง ทต.วังศาลา,กาญจนบุรี,ท่าม่วง,ทต.,ทต.วังศาลา,5,"  22,100,700 ","  22,100,700 ",  -   ,4 ,"  19,700,700 ","  19,700,700 ",  -   ,2 ,"  4,809,000 "
79,กาญจนบุรี ท่าม่วง ทต.สำรอง,กาญจนบุรี,ท่าม่วง,ทต.,ทต.สำรอง,2,"  8,660,000 ","  8,660,000 ",  -   ,2 ,"  8,660,000 ","  8,660,000 ",  -   ,1 ,"  4,392,000 "
80,กาญจนบุรี ท่าม่วง ทต.หนองขาว,กาญจนบุรี,ท่าม่วง,ทต.,ทต.หนองขาว,0,  -   ,  -   ,  -   ,0 ,  -   ,  -   ,  -   ,0 ,  -   
81,กาญจนบุรี ท่าม่วง ทต.หนองตากยา,กาญจนบุรี,ท่าม่วง,ทต.,ทต.หนองตากยา,2,"  9,841,000 ","  9,841,000 ",  -   ,2 ,"  5,200,000 ","  5,200,000 ",  -   ,1 ,"  5,200,000 "
82,กาญจนบุรี ท่าม่วง ทต.หนองหญ้าดอกขาว,กาญจนบุรี,ท่าม่วง,ทต.,ทต.หนองหญ้าดอกขาว,4,"  26,555,000 ","  26,555,000 ",  -   ,4 ,"  16,620,000 ","  16,620,000 ",  -   ,2 ,"  15,232,000 "
83,กาญจนบุรี ท่าม่วง อบต.เขาน้อย,กาญจนบุรี,ท่าม่วง,อบต.,อบต.เขาน้อย,4,"  14,396,000 ","  14,396,000 ",  -   ,4 ,"  14,396,000 ","  14,396,000 ",  -   ,3 ,"  10,609,000 "
84,กาญจนบุรี ท่าม่วง อบต.ท่าตะคร้อ,กาญจนบุรี,ท่าม่วง,อบต.,อบต.ท่าตะคร้อ,1,"  2,400,000 ","  2,400,000 ",  -   ,1 ,"  2,500,000 ","  2,500,000 ",  -   ,1 ,"  2,500,000 "
85,กาญจนบุรี ท่าม่วง อบต.ท่าม่วง,กาญจนบุรี,ท่าม่วง,อบต.,อบต.ท่าม่วง,0,  -   ,  -   ,  -   ,0 ,  -   ,  -   ,  -   ,0 ,  -   
86,กาญจนบุรี ท่าม่วง อบต.ทุ่งทอง,กาญจนบุรี,ท่าม่วง,อบต.,อบต.ทุ่งทอง,2,"  13,000,000 ","  13,000,000 ",  -   ,2 ,"  13,000,000 ","  13,000,000 ",  -   ,1 ,"  5,900,000 "
87,กาญจนบุรี ท่าม่วง อบต.บ้านใหม่,กาญจนบุรี,ท่าม่วง,อบต.,อบต.บ้านใหม่,4,"  19,168,000 ","  19,168,000 ",  -   ,4 ,"  9,184,000 ","  9,184,000 ",  -   ,1 ,"  6,290,000 "
