สรุปภาพรวมการเสนอคำขอรับการสนุบสนุนงบประมาณเงินอุดหนุนเฉพาะกิจขององค์กรปกครองส่วนท้องถิ่น (เทศบาลตำบลและองค์การบริหารส่วนตำบล),,,,,,,,,,,,,,,
ประจำปีงบประมาณ พ.ศ. 2567,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,, หน่วย : บาท
ลำดับ,Mix,จังหวัด,อำเภอ,ประเภท,อปท.,คำขอ อปท. (ทต. และ อบต.) ผ่านระบบ SOLA,,,,สถ. ทำคำขอในระบบ e-Budgeting,,,,พ.ร.บ. 2567 *,
,,,,,,รายการ, งบประมาณรวม, คำขอเงินอุดหนุน, เงินสมทบ,รายการ, งบประมาณรวม, คำขอเงินอุดหนุน, เงินสมทบ,รายการ, งบประมาณรวม
,,,,,,"6,428", แห่ง,,,"6,354", แห่ง,,,0, แห่ง
78,กาญจนบุรี ท่าม่วง ทต.วังศาลา,กาญจนบุรี,ท่าม่วง,ทต.,ทต.วังศาลา,8,"  9,574,400 ","  9,574,400 ",  -   ,7 ,"  9,347,800 ","  9,347,800 ",  -   ,,
79,กาญจนบุรี ท่าม่วง ทต.สำรอง,กาญจนบุรี,ท่าม่วง,ทต.,ทต.สำรอง,,,,,,,,,,
80,กาญจนบุรี ท่าม่วง ทต.หนองขาว,กาญจนบุรี,ท่าม่วง,ทต.,ทต.หนองขาว,6,"  9,542,800 ","  9,542,800 ",  -   ,6 ,"  9,542,800 ","  9,542,800 ",  -   ,,
81,กาญจนบุรี ท่าม่วง ทต.หนองตากยา,กาญจนบุรี,ท่าม่วง,ทต.,ทต.หนองตากยา,3,"  10,220,000 ","  10,220,000 ",  -   ,3 ,"  10,220,000 ","  10,220,000 ",  -   ,,
82,กาญจนบุรี ท่าม่วง ทต.หนองหญ้าดอกขาว,กาญจนบุรี,ท่าม่วง,ทต.,ทต.หนองหญ้าดอกขาว,7,"  22,811,200 ","  22,811,200 ",  -   ,6 ,"  19,351,200 ","  19,351,200 ",  -   ,,
83,กาญจนบุรี ท่าม่วง อบต.เขาน้อย,กาญจนบุรี,ท่าม่วง,อบต.,อบต.เขาน้อย,5,"  27,467,000 ","  27,467,000 ",  -   ,5 ,"  27,467,000 ","  27,467,000 ",  -   ,,
84,กาญจนบุรี ท่าม่วง อบต.ท่าตะคร้อ,กาญจนบุรี,ท่าม่วง,อบต.,อบต.ท่าตะคร้อ,,,,,,,,,,
85,กาญจนบุรี ท่าม่วง อบต.ท่าม่วง,กาญจนบุรี,ท่าม่วง,อบต.,อบต.ท่าม่วง,,,,,,,,,,
86,กาญจนบุรี ท่าม่วง อบต.ทุ่งทอง,กาญจนบุรี,ท่าม่วง,อบต.,อบต.ทุ่งทอง,5,"  27,334,000 ","  27,334,000 ",  -   ,5 ,"  27,334,000 ","  27,334,000 ",  -   ,,
87,กาญจนบุรี ท่าม่วง อบต.บ้านใหม่,กาญจนบุรี,ท่าม่วง,อบต.,อบต.บ้านใหม่,9,"  33,053,000 ","  33,053,000 ",  -   ,8 ,"  23,073,000 ","  23,073,000 ",  -   ,,
88,กาญจนบุรี ท่าม่วง อบต.พังตรุ,กาญจนบุรี,ท่าม่วง,อบต.,อบต.พังตรุ,,,,,,,,,,
89,กาญจนบุรี ท่าม่วง อบต.รางสาลี่,กาญจนบุรี,ท่าม่วง,อบต.,อบต.รางสาลี่,3,"  15,521,000 ","  15,521,000 ",  -   ,2 ,"  5,540,000 ","  5,540,000 ",  -   ,,
90,กาญจนบุรี ท่าม่วง อบต.หนองตากยา,กาญจนบุรี,ท่าม่วง,อบต.,อบต.หนองตากยา,2,"  9,920,000 ","  9,920,000 ",  -   ,2 ,"  9,920,000 ","  9,920,000 ",  -   ,,
91,กาญจนบุรี ท่ามะกา ทต.ดอนขมิ้น,กาญจนบุรี,ท่ามะกา,ทต.,ทต.ดอนขมิ้น,6,"  16,253,000 ","  16,253,000 ",  -   ,6 ,"  16,253,000 ","  16,253,000 ",  -   ,,
92,กาญจนบุรี ท่ามะกา ทต.ท่ามะกา,กาญจนบุรี,ท่ามะกา,ทต.,ทต.ท่ามะกา,2,"  9,780,000 ","  9,780,000 ",  -   ,2 ,"  9,780,000 ","  9,780,000 ",  -   ,,
93,กาญจนบุรี ท่ามะกา ทต.ท่าไม้,กาญจนบุรี,ท่ามะกา,ทต.,ทต.ท่าไม้,2,"  12,483,000 ","  12,483,000 ",  -   ,2 ,"  12,483,000 ","  12,483,000 ",  -   ,,
94,กาญจนบุรี ท่ามะกา ทต.พระแท่น,กาญจนบุรี,ท่ามะกา,ทต.,ทต.พระแท่น,4,"  23,717,000 ","  23,717,000 ",  -   ,3 ,"  21,217,000 ","  21,217,000 ",  -   ,,
95,กาญจนบุรี ท่ามะกา ทต.พระแท่นลำพระยา,กาญจนบุรี,ท่ามะกา,ทต.,ทต.พระแท่นลำพระยา,7,"  37,236,800 ","  37,236,800 ",  -   ,6 ,"  32,446,800 ","  32,446,800 ",  -   ,,
96,กาญจนบุรี ท่ามะกา ทต.ลูกแก,กาญจนบุรี,ท่ามะกา,ทต.,ทต.ลูกแก,2,"  6,783,000 ","  6,783,000 ",  -   ,2 ,"  6,783,000 ","  6,783,000 ",  -   ,,
97,กาญจนบุรี ท่ามะกา ทต.หนองลาน,กาญจนบุรี,ท่ามะกา,ทต.,ทต.หนองลาน,4,"  19,115,000 ","  19,115,000 ",  -   ,4 ,"  19,115,000 ","  19,115,000 ",  -   ,,
